date,reported_cases,symptom_rate,testing_volume
2023-01-01,46.0,,1104.0
2023-01-02,49.0,0.3014934490313363,1090.0
2023-01-03,64.0,0.38687344325926,
2023-01-04,73.0,0.2856056417680082,1160.0
2023-01-05,54.0,0.41178380829698497,1148.0
2023-01-06,46.0,,1164.0
2023-01-07,55.0,0.3457754559445847,1192.0
2023-01-08,51.0,0.3863825349325305,1139.0
2023-01-09,50.0,0.4365704255198321,1100.0
2023-01-10,,0.4200639241090583,1222.0
2023-01-11,60.0,0.28157572579793333,1271.0
2023-01-12,55.0,0.29923179347853307,
2023-01-13,53.0,0.31502645127791984,1136.0
2023-01-14,30.0,0.337163137124048,1118.0
2023-01-15,34.0,0.3660155521433263,1089.0
2023-01-16,52.0,0.31989412802364536,1201.0
2023-01-17,56.0,0.3815683744666211,1203.0
2023-01-18,69.0,0.3387349061314649,1241.0
2023-01-19,54.0,0.33551936705033614,
2023-01-20,42.0,0.2788189407049081,1130.0
2023-01-21,60.0,0.29258153769257655,1162.0
2023-01-22,49.0,,1118.0
2023-01-23,60.0,0.3102722714170674,1264.0
2023-01-24,56.0,0.4277967414577745,1198.0
2023-01-25,65.0,0.33191872369214925,1240.0
2023-01-26,66.0,0.5005989758264184,1249.0
2023-01-27,47.0,0.37670250597597904,1090.0
2023-01-28,54.0,0.3508696215674808,1047.0
2023-01-29,49.0,,1069.0
2023-01-30,60.0,0.396966043420999,
2023-01-31,,0.34921737570010924,1199.0
2023-02-01,,0.38837377425062986,1365.0
2023-02-02,67.0,0.4998687148826041,1183.0
2023-02-03,51.0,0.35011823133031744,1178.0
2023-02-04,61.0,0.4019760970816363,
2023-02-05,47.0,0.31362762601742195,1254.0
2023-02-06,67.0,0.3630857403103167,1298.0
2023-02-07,57.0,0.4694239141783888,1295.0
2023-02-08,65.0,0.35380954601358877,1297.0
2023-02-09,72.0,0.4653715312536261,1250.0
2023-02-10,,,1217.0
2023-02-11,59.0,0.31927370735725447,1124.0
2023-02-12,,0.3832914496111077,
2023-02-13,65.0,0.4163475027011167,1203.0
2023-02-14,64.0,,1235.0
2023-02-15,,0.30953127829306976,1232.0
2023-02-16,70.0,0.3412768599471517,1263.0
2023-02-17,73.0,0.3483145253082055,1234.0
2023-02-18,63.0,0.346559990081581,1165.0
2023-02-19,48.0,0.385589282920481,1245.0
2023-02-20,,0.3794894456510583,1155.0
2023-02-21,76.0,0.31988589523033906,
2023-02-22,76.0,0.4099370222225061,1227.0
2023-02-23,81.0,0.41104762138720163,1144.0
2023-02-24,76.0,0.3915645948669481,1191.0
2023-02-25,70.0,0.4072053131989298,1163.0
2023-02-26,59.0,0.3991364011550077,
2023-02-27,71.0,0.3964480149504328,1252.0
2023-02-28,84.0,0.3860294429775271,1210.0
2023-03-01,92.0,0.31076369838102375,1364.0
2023-03-02,75.0,0.4048838604642552,1307.0
2023-03-03,69.0,0.37684407221316707,1233.0
2023-03-04,57.0,0.3696298341655827,1167.0
2023-03-05,59.0,0.29648748002116243,
2023-03-06,83.0,0.3223207993532132,1211.0
2023-03-07,95.0,0.44507998660172005,1324.0
2023-03-08,86.0,0.39471860274860593,1375.0
2023-03-09,,0.4203625997608725,1332.0
2023-03-10,77.0,0.3707602220461499,
2023-03-11,64.0,0.3604233146652167,1131.0
2023-03-12,,0.41012371449559315,1204.0
2023-03-13,,0.35345600534737304,1149.0
2023-03-14,87.0,0.4001129981667394,1294.0
2023-03-15,102.0,0.3764672113908019,1282.0
2023-03-16,64.0,0.3674473689052408,1240.0
2023-03-17,83.0,0.35677031245081026,1141.0
2023-03-18,72.0,0.3729268116567304,1221.0
2023-03-19,72.0,0.34215670849823476,
2023-03-20,83.0,0.44493066342153315,1188.0
2023-03-21,74.0,0.3534612095933304,
2023-03-22,91.0,0.39312200900260147,1296.0
2023-03-23,91.0,0.37007024274776323,1360.0
2023-03-24,91.0,0.44746242822654425,1313.0
2023-03-25,70.0,0.3745324772852389,1181.0
2023-03-26,70.0,0.42057098193945575,1185.0
2023-03-27,81.0,0.3107494538756239,1279.0
2023-03-28,101.0,0.4144287033823839,
2023-03-29,98.0,0.4498317463764567,1321.0
2023-03-30,86.0,0.3990556105098586,1319.0
